species	total_length	completeness	draft_quality
Leptolinea tardivitalis	3687036	99.09	medium
Listeria newyorkensis	3453086	96.69	high
Catenovulum maritimum	4549503	94.45	high
Lactobacillus koreensis	3006812	99.38	high
Lactobacillus ginsenosidimutans	2590556	99.48	high
Tetrasphaera australiensis	4264973	88.26	medium
Crocosphaera watsonii	5961117	98.4	high
Candidatus Competibacter denitrificans	4084870	96.48	high
Thauera humireducens	4171754	99.9	high
Corynebacterium aurimucosum	2355597	99.53	medium
Bacillus sp. 220_BSPC	5826065	98.91	medium
Corynebacterium falsenii	2183634	98.74	high
Arcanobacterium haemolyticum	2266283	99.84	high
Haemophilus parainfluenzae	1997176	99.89	high
Corynebacterium halotolerans	3154822	99.4	high
Cellulomonas flavigena	2354316	99.53	high
Moraxella catarrhalis	1993894	99.73	high
Moraxella catarrhalis	1993133	99.73	high
Leifsonia xyli	2653159	99.45	high
Morococcus cerebrosus	2578695	99.7	medium
Moraxella catarrhalis	1830208	99.57	medium
Moraxella catarrhalis	1916549	99.73	medium
Moraxella catarrhalis	1899145	99.73	medium
Moraxella catarrhalis	1851057	99.73	high
Moraxella catarrhalis	1844128	99.73	medium
Staphylococcus epidermidis	2531263	99.81	medium
Streptomyces cattleya	1916254	99.96	high
Trueperella pyogenes	1923996	100	medium
Staphylococcus saprophyticus	2419582	99.45	medium
Coxiella-like endosymbiont	1733840	90.7	medium
Erythrobacter atlanticus	3226359	99.14	high
Photobacterium swingsii	5523519	98.34	high
Rufibacter sp. DG31D	4820793	99.95	high
Bordetella hinzii	4912977	99.53	high
Candidatus Rhodobacter lobularis	5037502	98.99	high
Streptomyces sp. SBT349	8064387	95.13	high
Yersinia aldovae	4215864	100	high
Candidatus Pelagibacter ubique	1010421	85.89	medium
Candidatus Pelagibacter ubique	681366	63.27	medium
Candidatus Pelagibacter ubique	731292	32.08	low
Candidatus Pelagibacter ubique	834822	70.66	medium
Candidatus Pelagibacter ubique	611592	54.87	medium
Candidatus Pelagibacter ubique	804609	51.44	medium
Prochlorococcus marinus	1443989	86.46	medium
Sutterellaceae bacterium ND3	2476884	98.12	high
Nocardia farcinica	6459780	99.75	high
Streptococcus sp. X13SY08	1548621	95.93	medium
Dyella-like sp. DHo	4191200	98.71	high
Cellvibrio sp. pealriver	4427922	100	high
Actinobaculum suis	2358658	98.7	high
Bacillus sp. FJAT-27916	4154233	96.99	high
Desulfocarbo indianensis	5114044	98.06	high
Bacillus sp. FJAT-27238	6134829	99.73	high
Devosia sp. H5989	4594249	98.6	high
Leptospirillum sp. Group II 'CF-1'	2709324	93.17	high
Streptomyces caatingaensis	7055077	98.31	high
Gilvimarinus polysaccharolyticus	3746057	100	medium
Anoxybacillus gonensis	2803668	99.44	high
Thermoactinomyces sp. CDF	2453828	94.46	medium
Brevibacillus reuszeri	6986486	99.73	medium
Wenzhouxiangella marina	3675202	99.64	high
Octadecabacter temperatus	3264628	99.39	high
Klebsiella sp. RIT-PI-d	4256263	99.69	high
Paenibacillus sp. D9	5645302	98.95	high
Enhydrobacter aerosaccus	2855818	99.71	high
Staphylococcus schleiferi	2582931	98.86	high
Parcubacteria bacterium C7867-004	778726	84.77	medium
Parcubacteria bacterium C7867-001	812017	75.29	medium
Parcubacteria bacterium C7867-002	631749	69.41	medium
Parcubacteria bacterium C7867-007	702407	56.56	medium
Parcubacteria bacterium C7867-008	808014	75.29	medium
Pyrobaculum sp. WP30	1993257	100	medium
Chondromyces crocatus	11388132	90.58	medium
[Eubacterium] sulci	1739380	100	high
Arsenicicoccus sp. oral taxon 190	3525271	100	high
Virgibacillus pantothenticus	4759248	100	high
Herbaspirillum autotrophicum	6009835	99.52	medium
Herbaspirillum chlorophenolicum	5297014	99.87	high
Herbaspirillum rhizosphaerae	5266109	99.47	high
Candidatus Burkholderia crenata	2843741	69.49	medium
Campylobacter gracilis	2281652	97.47	high
Campylobacter ureolyticus	1641887	98.95	high
[Clostridium] purinilyticum	3397304	95.07	medium
Luteipulveratus mongoliensis	5420910	100	high
Massilia sp. NR 4-1	6361416	99.9	high
Caedibacter varicaedens	1686852	76.84	medium
Flexilinea flocculi	3510630	91.82	high
Lentimicrobium saccharophilum	4514407	97.67	high
Pseudorhodobacter antarcticus	3881015	99.6	medium
Pseudorhodobacter aquimaris	3818437	98.48	medium
Pseudorhodobacter wandonensis	3887441	100	high
Aestuariivita atlantica	4342642	98.85	high
Erythrobacter citreus	3094736	99.82	medium
Candidatus Westeberhardia cardiocondylae	532684	91.67	high
Clostridium sp. mt5	2542842	97.93	high
Bacillus testis	3987368	97.27	high
Clostridium phoceensis	3453778	97.82	high
Candidatus Stoquefichus sp. SB1	3594189	100	high
Intestinimonas massiliensis	3105129	99.33	high
Roseovarius tolerans	3749125	98.57	high
Luteipulveratus halotolerans	4464286	100	high
Nautella italica	4049567	99.77	high
Dysgonomonas sp. HGC4	4494139	100	high
Dysgonomonas sp. BGC7	4322346	100	high
Anaeromassilibacillus senegalensis	3511751	98.52	high
Prevotella fusca	3261806	99.32	high
Aggregatibacter aphrophilus	2414427	99.66	high
Actinomyces meyeri	2049088	99.76	high
Ottowia sp. oral taxon 894	2925783	99.02	high
Microbacterium sp. GCS4	3652908	99.49	high
Methylobacterium sp. ARG-1	6299243	99.69	high
Pseudobacteroides cellulosolvens	6878816	97.32	medium
Aestuariivita boseongensis	3944324	99.36	high
Spiroplasma turonicum	1261374	99.25	high
Vulgatibacter incomptus	4350553	92.26	high
Labilithrix luteola	12191466	96.13	medium
Acetobacterium bakii	4135635	99.3	high
Bifidobacterium actinocoloniiforme	1830060	93.86	high
Thermincola ferriacetica	3178727	99.49	high
Arthrobacter sp. Hiyo1	4339100	79.89	medium
Corynebacterium riegelii	2563723	99.14	high
Clostridium homopropionicum	3650535	100	high
Microcystis panniformis	5686839	98.79	high
Salinicoccus sp. YB14-2	2730646	99.43	high
Metallosphaera sedula	2191533	100	medium
Metallosphaera sedula	2191529	100	medium
Metallosphaera sedula	2191531	100	medium
Metallosphaera sedula	2191533	100	medium
Metallosphaera sedula	2191533	100	medium
Spiroplasma litorale	1225519	98.87	high
Oblitimonas alkaliphila	2494031	96.59	high
Erwinia iniecta	4783533	99.47	high
Enterococcus durans	3071879	99.18	high
Herbaspirillum hiltneri	4965474	96.55	medium
Vibrio alginolyticus	4468230	100	high
Roseivirga seohaensis	4083414	99.35	high
Candidatus Baumannia cicadellinicola	636137	97.5	high
Pseudoalteromonas sp. '520P1 No. 423'	5387613	100	high
Limnohabitans planktonicus	4742254	99.35	high
Clostridium sp. DMHC 10	3988828	82.21	medium
Jiangella muralis	7266157	100	high
Sunxiuqinia dokdonensis	4962831	100	high
miscellaneous Crenarchaeota group-6 archaeon AD8-1	1583813	95.79	medium
miscellaneous Crenarchaeota group archaeon SMTZ-80	1510195	61.99	medium
Nitrospira moscoviensis	4589485	95.91	medium
Leucobacter celer	4141170	98.83	high
Bacillus sp. FJAT-26652	4771590	99.34	medium
Leptotrichia sp. oral taxon 212	2444904	98.88	high
Aneurinibacillus migulanus	6348994	99.22	high
Bacillus marisflavi	4312088	99.34	high
Spiroplasma kunkelii	1514561	96.62	high
Corynebacterium lactis	2769745	100	high
Bacillus okuhidensis	4205350	99.33	medium
Bacillus koreensis	4603584	99.43	high
Viridibacillus arvi	4758570	99.34	high
Rheinheimera sp. KL1	4295060	98.89	high
Prevotella sp. 109	3788330	99.26	high
Kocuria palustris	2854447	99.34	high
Hapalosiphon sp. MRB220	7429720	99.52	high
Bacillus sp. FJAT-18019	6427345	99.85	high
Haemophilus influenzae	1863535	99.67	medium
Achromatium sp. WMS2	2813551	71.76	medium
Achromatium sp. WMS3	3845602	72.78	medium
Achromatium sp. WMS1	1313645	29.21	low
Planktothricoides sp. SR001	7066705	100	high
Paenibacillus sp. FJAT-22460	6198757	99.85	medium
Paenibacillus polymyxa	5150736	97.38	medium
Corynebacterium deserti	3033893	99.45	high
Sphingopyxis sp. 113P3	4664213	99.3	high
Desulfuromonas soudanensis	3958620	99.03	high
Streptomyces pristinaespiralis	8532592	99.93	high
Flavobacterium akiainvivens	4533022	99.65	high
Bacillus gobiensis	4597707	97.56	high
Bacillus sp. FJAT-22090	4215291	100	high
Bacillus sp. FJAT-18017	5265521	99.17	high
Nocardiopsis sp. NRRL B-16309	6706172	100	medium
Streptomyces sp. WM6378	9486712	99.49	medium
Streptomyces sp. WM4235	7812079	99.11	high
Streptomyces sp. AS58	10576888	100	high
Asanoa ferruginea	6957317	99.69	high
Buchnera aphidicola	638851	98.77	high
Mangrovimonas sp. ST2L12	3827241	99.67	high
Mangrovimonas sp. TPBH4	4149242	99.67	high
Mangrovimonas sp. ST2L15	3556543	99.34	high
Leptospirillum ferriphilum	2475669	90.42	high
Sulfobacillus thermosulfidooxidans	3828023	99	high
Bacillus sp. FJAT-28004	7479858	99.73	medium
Polaribacter dokdonensis	3087076	99.61	high
Sellimonas intestinalis	3189052	98.83	high
Spiroplasma cantharicola	1179577	98.87	high
Arthrobacter sp. LS16	3851242	99.28	high
Lactobacillus apinorum	1460240	97.39	high
Candidatus Thioglobus singularis	1714148	98.68	high
Bartonella ancashensis	1467695	97.12	high
Cupriavidus gilardii	5578743	98.92	high
Lawsonella clevelandensis	1915154	95	high
Lysinibacillus macroides	4866035	99.34	high
bacterium 336/3	4714744	99.39	high
Lascolabacillus massiliensis	2824716	100	high
Clostridiales bacterium mt11	3568817	98.6	medium
Lachnospiraceae bacterium mt14	4578674	97.99	high
Clostridiaceae bacterium mt12	3497276	99.29	high
Halolamina sediminis	2835858	96.58	high
Aneurinibacillus migulanus	5982226	98.68	high
Aneurinibacillus migulanus	6296996	99.22	high
Helicobacter ailurogastricus	1578404	99.16	high
Helicobacter heilmannii	1638988	98.8	high
Escherichia coli	951382	29.31	low
Kallipyga gabonensis	1621211	96.95	high
Mycobacterium mucogenicum	6210127	99.81	high
Candidatus Magnetomorum sp. HK-1	14290418	96.94	high
Shimia sp. SK013	4049808	99.57	high
Marinagarivorans algicola	4057827	98.99	high
Lawsonella clevelandensis	1860551	95	high
Candidatus Thioglobus autotrophicus	1512449	99.17	high
Ideonella sakaiensis	6142063	99.84	high
Ardenticatena maritima	3569367	98.18	medium
Ahrensia marina	3441030	99.48	high
Amantichitinum ursilacus	4928951	99.57	high
Comamonas kerstersii	3733085	97.52	high
Phaeobacter sp. 11ANDIMAR09	4709832	99.95	high
Moellerella wisconsensis	3303166	100	high
Aneurinibacillus migulanus	6301904	99.22	medium
Pseudorhodobacter psychrotolerans	5079079	99.64	high
Idiomarina abyssalis	2684812	100	high
Idiomarina zobellii	2618934	99.66	medium
Chryseobacterium indologenes	4861744	100	high
Parageobacillus thermoglucosidans	3873116	99.41	high
beta proteobacterium AAP99	3858517	99.36	high
Novosphingobium sp. AAP83	4232088	99.71	high
Rhodopseudomonas sp. AAP120	6161026	100	high
beta proteobacterium AAP65	4843194	98.91	high
beta proteobacterium AAP51	5104122	99.38	high
alpha proteobacterium AAP81b	3450043	99.07	high
alpha proteobacterium AAP38	5784559	100	high
Porphyrobacter sp. AAP60	3253737	99.54	high
Novosphingobium sp. AAP93	4267112	99.48	medium
Candidatus Liberibacter asiaticus	1233647	97.3	high
Lactobacillus fermentum	2043356	96.5	high
Trabulsiella odontotermitis	4602545	100	high
Lactobacillus fermentum	2011828	94.08	high
Oceanobacillus caeni	3579090	97.33	high
Bosea vaviloviae	5602085	99.37	high
Nostoc piscinale	7094556	96.99	high
Campylobacter concisus	1840041	99.88	high
Corynebacterium pseudotuberculosis	2337124	99.45	high
Actinobacteria bacterium OK074	10668107	99.89	high
Acidovorax caeni	4190928	99.07	high
Clostridiales bacterium SIT11	1762219	98.95	high
Neofamilia massiliensis	1920334	99.3	high
Chlorobi bacterium NICIL-2	2767360	95.9	medium
Chitinophagaceae bacterium PMP191F	6452579	100	high
Aerophobetes bacterium AeroCD12-1	1274958	88.14	medium
Glutamicibacter arilaitensis	3918424	99.51	high
Kibdelosporangium phytohabitans	11759770	99.82	high
Dehalococcoidia bacterium DG_22	1135001	46.32	low
candidate division Zixibacteria bacterium DG_27	1101969	56.35	medium
Deltaproteobacteria bacterium DG_8	1418734	38.96	low
candidate division KD3-62 bacterium DG_56	1238975	51.23	medium
Planctomycetes bacterium DG_23	2020164	82.95	medium
candidate division TA06 bacterium DG_24	2323720	63.74	medium
Coxiella sp. DG_40	2338617	77.23	medium
Parcubacteria bacterium DG_74_3	543780	62.58	medium
Gammaproteobacteria bacterium SG8_11	3882126	53.88	medium
Gammaproteobacteria bacterium SG8_15	2741304	61.24	medium
Anaerolineae bacterium SG8_19	4668865	73.56	medium
Parcubacteria bacterium DG_74_1	584570	53.52	medium
Parcubacteria bacterium SG8_24	1116563	69.11	medium
candidate division TA06 bacterium DG_78	2090507	75.6	medium
Phycisphaerae bacterium SG8_4	4458874	71.59	medium
Dehalococcoidia bacterium SG8_51_3	1759043	49.84	low
Dehalococcoidia bacterium SM23_28_1	732023	24.97	low
Phycisphaerae bacterium SM23_30	4010441	70.82	medium
candidate division TA06 bacterium SM23_40	2883088	91.21	high
Nitrospira bacterium SM23_35	1416608	65.66	medium
candidate division WOR_3 bacterium SM23_42	2532789	93.41	medium
Gemmobacter sp. LW-1	4344434	99.55	high
Bacteroides sp. SM23_62	5784682	87.83	medium
candidate division Zixibacteria bacterium SM23_81	3074913	94.44	medium
bacterium SM23_31	2821327	57.46	medium
Bacteroides sp. SM1_62	2576725	54.94	medium
candidate division BRC1 bacterium SM23_51	2764529	52.49	medium
Deltaproteobacteria bacterium SM23_61	4241461	85.66	medium
candidate division Zixibacteria bacterium SM23_73_3	1882756	73.43	medium
candidate division TA06 bacterium SM1_40	2559446	84.62	medium
candidate division WOR_3 bacterium SM1_77	1269144	27.12	low
Phycisphaerae bacterium SM1_79	2952060	48.76	low
candidate division Zixibacteria bacterium SM23_73_2	2255062	86.05	medium
candidate division TA06 bacterium DG_26	1676824	82.97	medium
Dehalococcoidia bacterium DG_18	912888	37.79	low
Syntrophobacter sp. DG_60	1357456	61.93	medium
bacterium SM23_57	2320374	41.53	low
Bacteroides sp. SM23_62_1	4744439	89.72	medium
Methanosarcina flavescens	3268085	99.84	medium
Clostridia bacterium UC5.1-1C12	3294149	96.81	high
Clostridia bacterium UC5.1-1E11	2997790	95.92	high
Clostridia bacterium UC5.1-1D1	3113981	98.43	high
Neptunomonas antarctica	4568828	100	medium
Prosthecomicrobium hirschii	6484983	98.63	medium
Beggiatoa leptomitiformis	4265296	98.81	high
Azospirillum thiophilum	7609458	100	high
Confluentimicrobium sp. EMB200-NS6	4147426	99.39	high
Halanaeroarchaeum sulfurireducens	2253500	98.23	high
Erythrobacter sp. SG61-1L	3771912	99.26	high
Bellilinea caldifistulae	3655684	92.73	medium
Leptolinea tardivitalis	3676575	99.09	medium
Ornatilinea apprima	4338330	94.55	medium
Herpetosiphon geysericola	6140412	99.09	medium
Thermanaerothrix daxensis	3012066	92.73	medium
Croceitalea dokdonensis	3883802	98.68	high
Leadbetterella sp. JN14-9	4474039	98.66	high
Pseudoalteromonas sp. UCD-33C	4471752	100	high
Xanthomonas sp. Mitacek01	3617426	99.66	high
Arthrobacter sp. Edens01	3639179	99.08	high
Acinetobacter equi	3054269	99.66	high
Mycobacterium fortuitum	6254616	99.81	high
Aliiroseovarius crassostreae	3725379	99.6	high
Rhodocyclaceae bacterium Paddy-1	3554045	99.53	high
Neisseria sp. 74A18	2572932	100	high
Persicobacter sp. JZB09	8251744	99.26	high
Weissella cibaria	2577731	98.77	high
Leptospirillum sp. YQP-1	3103789	99.34	high
Algibacter alginolytica	3994770	98.68	high
Brevundimonas sp. DS20	3475610	99.57	high
Nocardia arizonensis	7198456	99.31	high
Halolactibacillus sp. JCM 19043	3174303	97.85	high
Photobacterium sp. JCM 19050	5443264	94.76	medium
Bacillus sp. JCM 19035	4329788	91.92	high
Thalassobacillus sp. C254	4050148	93.53	medium
Diaphorobacter nitroreducens	3008372	84.14	medium
Pseudovibrio denitrificans	6053738	94.95	high
Marinifilum fragile	4718481	99.46	high
[Clostridium] glycyrrhizinilyticum	3215420	98.83	high
Lactobacillus similis	3453494	94.77	medium
Lactobacillus pantheris	2530740	92.84	high
Lactobacillus camelliae	2542116	93.48	medium
Lactobacillus florum	1355137	89.44	medium
Lactobacillus nasuensis	2248882	89.63	medium
Lactobacillus parafarraginis	3101821	93.14	high
Lactobacillus equigenerosi	1593179	93.99	medium
Desulfothermus okinawensis	2774183	71.18	medium
Lactobacillus curvatus	1814792	90.83	high
Lactobacillus acetotolerans	1577546	87.56	medium
Lactobacillus saniviri	2420749	94.62	high
Desulfovibrio brasiliensis	3565101	97.66	high
Desulfosarcina cetonica	7092334	94.35	high
Syntrophomonas palmitatica	2581434	96.92	high
Calditerricola satsumensis	2222169	87.28	medium
Cellulosilyticum ruminicola	4060997	98.43	medium
Aciditerrimonas ferrireducens	1176939	29.1	low
Methylomonas koyamae	4954151	95.02	high
Methylogaea oryzae	3696254	84.24	medium
Ruminococcus faecis	3259449	96.15	medium
Byssovorax cruenta	5987311	37.45	low
Lactobacillus collinoides	3562239	94.22	high
Lactobacillus thailandensis	2062475	95.51	high
Rhodococcus sp. HA99	5891134	85.53	medium
Silvimonas sp. JCM 19000	4694667	84.86	medium
Lactobacillus odoratitofui	2744707	93.02	high
Lactobacillus kimchicus	2595250	89.78	medium
Lactobacillus silagei	2650200	94.08	high
Microbacterium sp. No. 7	4827965	98.7	high
Stenotrophomonas acidaminiphila	4138297	99.5	high
Sphingopyxis macrogoltabida	5748623	99.64	high
Bacteroidetes bacterium HLUCCA01	3372780	95.9	medium
Idiomarinaceae bacterium HL-53	2690152	99.08	medium
Halomonas sp. HL-93	3533026	93.46	medium
Algoriphagus marincola	3800660	92.36	medium
Phormidesmis priestleyi	5928357	99.18	medium
Phormidium sp. OSCR	4694862	98.01	medium
Lactobacillus kunkeei	1614522	98.07	high
Bacteroides thetaiotaomicron	6487685	99.41	high
Bacteroides ovatus	6472489	99.46	high
Azospirillum brasilense	6587527	100	high
Vibrio sp. JCM 18905	5156544	96.73	high
Metallosphaera hakonensis	2387907	95.34	medium
Methanogenium cariaci	2686643	85.25	medium
Methanoculleus chikugoensis	2627540	73.55	medium
Vulcanisaeta distributa	2422819	90.87	medium
Vulcanisaeta distributa	2076046	93.14	medium
Vulcanisaeta souniana	2432793	94.61	medium
Sulfolobus metallicus	2214633	93.21	medium
Aeropyrum camini	1591049	94.81	medium
Sulfolobus sp. JCM 16833	2519460	98.21	medium
Vulcanisaeta distributa	2424311	90.51	medium
Vulcanisaeta distributa	2415892	90.87	medium
Acidiplasma cupricumulans	1747526	77.99	medium
Vulcanisaeta sp. JCM 14467	2443876	93.75	medium
Vulcanisaeta sp. JCM 16159	2249042	91.31	medium
Vulcanisaeta sp. JCM 16161	2286599	92.22	medium
Methanosarcina barkeri	4458961	93.85	medium
Methanobacterium formicicum	2451734	91.82	medium
Caloranaerobacter sp. TR13	2261881	98.6	medium
Candidatus Methanoperedens sp. BLZ1	3738466	96.73	medium
Thermococcus sp. EP1	1819157	98.51	medium
Oxobacter pfennigii	4510552	99.19	high
Candidatus Xiphinematobacter sp. Idaho Grape	915884	89.86	medium
Bacteroides cellulosilyticus	7084828	99.26	high
Synechocystis sp. PCC 6803	3569196	99.78	high
Enterococcus cecorum	2320599	99.17	high
Psychromonas sp. PRT-SC03	906655	30.45	low
Marinosulfonomonas sp. PRT-SC04	1722565	53.77	medium
Lactobacillus fermentum	1950408	99.18	high
Paraliobacillus sp. PM-2	2925430	99.34	high
Paenibacillus sp. FF9	4569428	100	high
Flaviflexus massiliensis	2633477	99.51	high
Numidum massiliense	3755739	95.51	high
Massilibacterium senegalense	2849407	98.03	high
Vibrio bivalvicida	4922047	99.7	high
Alicyclobacillus ferrooxydans	5044184	98.8	high
Acidiplasma aeolicum	1746790	97.15	medium
Kouleothrix aurantiaca	7798339	90.4	medium
Thiohalorhabdus denitrificans	2869005	98.32	medium
Thermus aquaticus	2338641	100	high
Candidatus Bathyarchaeota archaeon BA2	1455689	93.77	medium
Candidatus Bathyarchaeota archaeon BA1	1931714	91.59	medium
Chlamydia psittaci	1170628	99.49	high
Chlamydia psittaci	1171301	97.89	high
Chlamydia psittaci	1168210	99.49	high
Chlamydia psittaci	1169673	100	high
Shewanella sp. P1-14-1	4916416	99.57	medium
Pseudoalteromonas sp. P1-26	4715813	100	medium
Pseudanabaena sp. 'Roaring Creek'	5477812	99.06	high
Methanosarcina sp. 795	3122414	99.84	medium
Blastochloris viridis	3724841	96.77	high
Acidiplasma cupricumulans	1731076	98.78	medium
Acidiplasma aeolicum	1778901	98.37	medium
Gabonia massiliensis	4261367	99.5	high
Desnuesiella massiliensis	5503198	99.19	medium
Clostridium sp. ND2	3732966	98.25	high
Jannaschia rubra	3660824	99.15	high
Helcobacillus massiliensis	2232000	94.15	high
Jannaschia donghaensis	3486999	98.54	high
Paenibacillus ihumii	5924107	99.07	high
Labrenzia alba	5993248	99.68	high
[Eubacterium] contortum	5545490	99.42	high
Blautia obeum	3731704	99.37	medium
Labrenzia alba	6901692	99.68	high
Collinsella aerofaciens	2187920	99.19	high
Clostridium disporicum	3449564	96.77	high
Collinsella aerofaciens	2234797	100	high
Roseburia faecis	3567818	99.21	high
Fusicatenibacter saccharivorans	3878672	98.31	high
Turicibacter sanguinis	2660930	90.77	medium
Turicibacter sanguinis	2612019	91.6	medium
[Clostridium] innocuum	4283273	100	high
Lagierella massiliensis	1832315	98.78	high
Kocuria salsicia	2999584	98.68	high
Jannaschia seosinensis	3833324	91.49	high
Burkholderia cepacia	8605945	100	high
Loktanella sp. 1ANDIMAR09	3719274	99.7	high
Corynebacterium oculi	2413873	99.78	medium
Geobacillus sp. PA-3	3646477	99.44	high
Pedobacter sp. Hv1	4895269	97.61	high
Smithella sp. SDB	2971898	93.55	medium
Methanoculleus sp. SDB	2085722	98.37	medium
Desulfuromonas sp. SDB	3139690	95.24	medium
Candidatus Cloacimonas sp. SDB	2936005	95.54	medium
Francisella tularensis	1899676	97.66	high
Limnohabitans sp. 103DPR2	2948795	99.22	high
Massilia sp. WG5	6267305	99.72	high
Pyrodictium delaneyi	2023836	99.37	medium
Pedobacter sp. PACM 27299	6147290	100	high
Nonlabens sp. YIK11	3260677	98.16	high
Flagellimonas sp. DK169	4132279	99.34	high
Deinococcus sp. UR1	3894815	82.13	medium
Candidatus Liberibacter solanacearum	1286787	99.91	high
Lachnospiraceae bacterium TF01-11	3610525	98.66	medium
Nonomuraea sp. NBRC 110462	8992127	99.47	high
Bifidobacterium aesculapii	2693486	99.88	medium
Mycobacterium gordonae	7552315	100	high
Chelatococcus sambhunathii	4373820	99.69	high
Lacinutrix mariniflava	3973985	99.67	high
Gulbenkiania indica	2848002	99.15	medium
Lacinutrix himadriensis	4166348	99.67	high
Marinomonas fungiae	4189249	99.89	medium
Tepidiphilus thermophilus	2259819	96.13	medium
Thiomonas bhubaneswarensis	3203428	100	high
Streptomyces aurantiacus	9255252	96.46	high
Idiomarina woesei	2437751	99.33	medium
Streptomyces hirsutus	8506297	96.66	high
Streptomyces kanamyceticus	9783257	95.43	high
Streptomyces ossamyceticus	9298634	95.35	high
Streptomyces pathocidini	5542997	96.67	high
Streptomyces griseoplanus	8245423	97.11	high
Streptomyces griseoruber	9868987	96.96	high
Streptomyces phaeochromogenes	10935515	96.6	high
Apibacter mensalis	2331098	100	high
Thermococcus thioreducens	2052483	98.4	medium
Acidithiobacillus ferrooxidans	3111222	99.34	medium
Streptomyces prasinopilosus	6416915	93.42	high
Streptomyces silaceus	8744139	96.49	high
Loktanella sp. 3ANDIMAR09	3678290	98.69	high
Chryseobacterium aquaticum	3813178	100	high
Bosea thiooxidans	5460905	99.69	high
Bacillus solani	5315603	97.27	high
Bacillus plakortidis	3967762	98.67	medium
Brevibacillus choshinensis	6279095	99.73	high
Bacillus shackletonii	5297592	98.53	high
Bacillus thuringiensis	6227942	98.92	high
Agarivorans gilvus	4416600	100	high
Pseudonocardia sp. EC080619-01	7205934	98.87	high
Paenibacillus bovis	5354277	99.61	high
Candidatus Bacteroides periocalifornicus	2516425	92.86	medium
Methanomassiliicoccales archaeon RumEn M2	1280797	94.09	high
Methanomassiliicoccales archaeon RumEn M1	2121026	96.61	medium
Sphingomonas sp. Leaf11	3765831	99.59	high
Novosphingobium sp. Leaf2	3715735	99.54	high
Sphingomonas sp. Leaf17	3204003	99.66	high
Pedobacter sp. Leaf216	5680060	98.09	high
Agromyces sp. Leaf222	4428049	99.49	high
Sphingobium sp. Leaf26	4822147	99.66	high
Xylophilus sp. Leaf220	4483623	99.53	high
Sphingomonas sp. Leaf33	3231312	98.98	high
Sphingomonas sp. Leaf34	3943835	99.66	high
Sphingomonas sp. Leaf231	3733197	99.25	high
Frigoribacterium sp. Leaf254	3423974	98.99	high
Curtobacterium sp. Leaf261	3926430	98.48	high
Methylobacterium sp. Leaf89	5005286	99.53	high
Methylobacterium sp. Leaf99	4645412	99.37	high
Pseudorhodoferax sp. Leaf267	6530331	99.84	high
Pseudorhodoferax sp. Leaf274	6735869	100	high
Erwinia sp. Leaf53	5115519	99.52	high
Rathayibacter sp. Leaf296	4022070	99.24	high
Frondihabitans sp. Leaf304	3453774	98.4	medium
Nocardioides sp. Leaf307	3953873	98.7	high
Plantibacter sp. Leaf314	3961764	99.49	high
Aureimonas sp. Leaf324	4415253	99.6	high
Aeromicrobium sp. Leaf291	3571516	99.48	high
Leifsonia sp. Leaf336	4157793	99.44	high
Sphingomonas sp. Leaf343	3600029	98.96	high
Sphingomonas sp. Leaf357	3871084	99.66	high
Brevibacillus sp. Leaf182	6465042	99.73	medium
Rathayibacter sp. Leaf185	4105523	99.24	high
Pedobacter sp. Leaf194	4573096	98.09	high
Flavobacterium sp. Leaf359	3801380	99.65	medium
Brevundimonas sp. Leaf363	3127470	99.35	high
Chryseobacterium sp. Leaf394	4318453	100	medium
Chryseobacterium sp. Leaf404	3939915	100	high
Massilia sp. Leaf139	5387355	99.8	high
Acidovorax sp. Leaf160	4717897	99.62	high
Pedobacter sp. Leaf176	4753721	97.13	medium
Curtobacterium sp. Leaf183	3580776	98.99	medium
Geodermatophilus sp. Leaf369	4368819	99.06	high
Modestobacter sp. Leaf380	4764686	99.29	high
Methylobacterium sp. Leaf399	4456718	99.37	high
Ramlibacter sp. Leaf400	4585682	99.84	high
Arthrobacter sp. Leaf141	4355205	99.71	medium
Chryseobacterium sp. Leaf180	3353784	100	high
Methylophilus sp. Leaf416	2940342	100	high
Aureimonas sp. Leaf454	4797175	99.8	high
Marmoricola sp. Leaf446	3814797	99.48	high
Rhizobacter sp. Root29	6512927	99.77	high
Aminobacter sp. Root100	5239945	99.51	high
Leifsonia sp. Root112D2	3406696	99.49	high
Rhizobium sp. Root1212	5345260	98.6	high
Leifsonia sp. Root4	3867359	99.41	high
Phenylobacterium sp. Root1290	4265935	99.51	high
Leifsonia sp. Root1293	3611286	98.99	high
Sphingomonas sp. Leaf412	3462693	98.62	high
Methylobacterium sp. Leaf456	5577040	99.69	high
Aurantimonas sp. Leaf443	3908067	99.19	high
Rhizobacter sp. Root1221	6865017	100	high
Afipia sp. Root123D2	4798932	99.89	high
Rhizobacter sp. Root404	5274600	99.84	high
Brevundimonas sp. Root1279	3425771	99.68	high
Rhodococcus sp. Leaf247	4533613	99.03	high
Sphingomonas sp. Leaf339	3911581	99.2	high
Bosea sp. Leaf344	4350923	98.75	high
Devosia sp. Root436	3919126	99.04	high
Paenibacillus sp. Root444D2	8119172	99.19	high
Angustibacter sp. Root456	3839507	99.82	high
Aeromicrobium sp. Root472D3	3707866	99.74	medium
Mycobacterium sp. Root135	6501425	100	high
Rhizobium sp. Root1334	6310811	99.51	high
